Run,TestName,query,user,privileges,expected
yes,19_Entitlement_0_ukx5xdqx_exact_user_ellatest,0_ukx5xdqx;exact,user;ellatest,"privacycontext:mediaspace,enableentitlement",None
yes,20_Entitlement_0_ukx5xdqx_exact_user_ellatest,0_ukx5xdqx;exact,user;ellatest,"disableentitlementforentry:0_ukx5xdqx,privacycontext:mediaspace,enableentitlement",0_ukx5xdqx
yes,21_Entitlement_0_mdjq9piy_exact_admin_renan_moderator,0_mdjq9piy;exact,admin;renan_moderator,"*,disableentitlement",0_mdjq9piy
yes,22_Entitlement_0_mdjq9piy_exact_user_ellaadmin,0_mdjq9piy;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",None
yes,23_Entitlement_0_3ju2bg49_exact_admin_renan_manager,0_3ju2bg49;exact,admin;renan_manager,"*,disableentitlement",0_3ju2bg49;0_15d4up0m;0_4y4zf9r5
yes,24_Entitlement_0_3ju2bg49_exact_user_testrenan,0_3ju2bg49;exact,user;testrenan,"privacycontext:mediaspace,enableentitlement",0_3ju2bg49;0_15d4up0m;0_4y4zf9r5
yes,25_Entitlement_0_3ju2bg49_exact_user_ellaadmin,0_3ju2bg49;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",None
yes,26_Entitlement_0_3ju2bg49_exact_user_ellaadmin,0_3ju2bg49;exact,user;ellaadmin,"disableentitlementforentry:0_3ju2bg49,privacycontext:mediaspace,enableentitlement",0_3ju2bg49;0_15d4up0m;0_4y4zf9r5
yes,27_Entitlement_0_yah92ctp_exact_user_renanadmin,0_yah92ctp;exact,user;renanadmin,"privacycontext:mediaspace,enableentitlement",0_yah92ctp
yes,28_Entitlement_0_yah92ctp_exact_user_testrenan,0_yah92ctp;exact,user;testrenan,"privacycontext:mediaspace,enableentitlement",0_yah92ctp
yes,29_Entitlement_0_yah92ctp_exact_user_ellatest,0_yah92ctp;exact,user;ellatest,"privacycontext:mediaspace,enableentitlement",None
yes,30_Entitlement_0_3ju2bg49_exact_user_ellatest,0_3ju2bg49;exact,user;ellatest,"privacycontext:mediaspace,enableentitlement",0_3ju2bg49;0_15d4up0m;0_4y4zf9r5
yes,31_Entitlement_0_3ju2bg49_exact_user_renanadmin,0_3ju2bg49;exact,user;renanadmin,"privacycontext:mediaspace,enableentitlement",0_3ju2bg49;0_15d4up0m;0_4y4zf9r5
yes,32_Entitlement_0_15d4up0m_exact_user_ellatest,0_15d4up0m;exact,user;ellatest,"privacycontext:mediaspace,enableentitlement",0_15d4up0m
yes,33_Entitlement_0_15d4up0m_exact_user_renanadmin,0_15d4up0m;exact,user;renanadmin,"privacycontext:mediaspace,enableentitlement",0_15d4up0m
yes,34_Entitlement_0_15d4up0m_exact_user_ellaadmin,0_15d4up0m;exact,user;ellaadmin,"privacycontext:mediaspace,enableentitlement",None
yes,35_Entitlement_0_15d4up0m_exact_user_ellaadmin,0_15d4up0m;exact,user;ellaadmin,"disableentitlementforentry:0_15d4up0m,privacycontext:mediaspace,enableentitlement",0_15d4up0m
yes,36_Entitlement_0_15d4up0m_exact_user_ellaadmin,0_15d4up0m;exact,user;ellaadmin,"disableentitlementforentry:0_3ju2bg49,privacycontext:mediaspace,enableentitlement",0_15d4up0m
yes,37_Entitlement_0_hcgpplqc_exact_user_privatUgroup1,0_hcgpplqc;exact,user;privatUgroup1,"privacycontext:mediaspace,enableentitlement",0_hcgpplqc
yes,38_Entitlement_0_hcgpplqc_exact_user_viewerUgroup1,0_hcgpplqc;exact,user;viewerUgroup1,"privacycontext:mediaspace,enableentitlement",0_hcgpplqc
yes,39_Entitlement_0_mgocd8v9_exact_user_privatUgroup1,0_mgocd8v9;exact,user;privatUgroup1,"privacycontext:mediaspace,enableentitlement",0_mgocd8v9
yes,40_Entitlement_0_mgocd8v9_exact_user_viewerUgroup1,0_mgocd8v9;exact,user;viewerUgroup1,"privacycontext:mediaspace,enableentitlement",0_mgocd8v9
yes,41_Entitlement_0_k0zt385q_exact_user_privatUgroup2,0_k0zt385q;exact,user;privatUgroup2,"privacycontext:mediaspace,enableentitlement",0_k0zt385q
yes,42_Entitlement_0_k0zt385q_exact_user_viewerUgroup2,0_k0zt385q;exact,user;viewerUgroup2,"privacycontext:mediaspace,enableentitlement",0_k0zt385q
yes,43_Entitlement_0_2bpu55lc_exact_user_viewerUgroup2,0_2bpu55lc;exact,user;viewerUgroup2,"privacycontext:mediaspace,enableentitlement",0_2bpu55lc
yes,44_Entitlement_0_2bpu55lc_exact_user_viewerNoGroup,0_2bpu55lc;exact,user;viewerNoGroup,"privacycontext:mediaspace,enableentitlement",0_2bpu55lc
yes,45_Entitlement_0_bthzu10t_exact_user_privatNoGroup,0_bthzu10t;exact,user;privatNoGroup,"privacycontext:mediaspace,enableentitlement",0_bthzu10t
yes,46_Entitlement_0_bthzu10t_exact_user_viewerNoGroup,0_bthzu10t;exact,user;viewerNoGroup,"privacycontext:mediaspace,enableentitlement",0_bthzu10t
yes,47_Entitlement_0_xrw9j7iz_exact_user_privatUgroup1,0_xrw9j7iz;exact,user;privatUgroup1,"privacycontext:mediaspace,enableentitlement",0_xrw9j7iz
yes,48_Entitlement_0_o9dtu6sh_exact_user_viewerNoGroup,0_o9dtu6sh;exact,user;viewerNoGroup,"privacycontext:mediaspace,enableentitlement",0_o9dtu6sh;0_rlyy14j7;0_f2r0q2f4
yes,49_Entitlement_0_o9dtu6sh_exact_user_privatNoGroup,0_o9dtu6sh;exact,user;privatNoGroup,"privacycontext:mediaspace,enableentitlement",0_o9dtu6sh;0_rlyy14j7;0_f2r0q2f4
yes,50_Entitlement_0_o9dtu6sh_exact_user_privatUgroup1,0_o9dtu6sh;exact,user;privatUgroup1,"privacycontext:mediaspace,enableentitlement",0_o9dtu6sh;0_rlyy14j7;0_f2r0q2f4
yes,51_Entitlement_0_o9dtu6sh_exact_user_viewerUgroup1,0_o9dtu6sh;exact,user;viewerUgroup1,"privacycontext:mediaspace,enableentitlement",0_o9dtu6sh;0_rlyy14j7;0_f2r0q2f4
yes,52_Entitlement_0_rlyy14j7_exact_user_viewerNoGroup,0_rlyy14j7;exact,user;viewerNoGroup,"privacycontext:mediaspace,enableentitlement",0_rlyy14j7
yes,53_Entitlement_0_rlyy14j7_exact_user_privatNoGroup,0_rlyy14j7;exact,user;privatNoGroup,"privacycontext:mediaspace,enableentitlement",0_rlyy14j7
yes,54_Entitlement_0_rlyy14j7_exact_user_privatUgroup1,0_rlyy14j7;exact,user;privatUgroup1,"privacycontext:mediaspace,enableentitlement",0_rlyy14j7
yes,55_Entitlement_0_rlyy14j7_exact_user_viewerUgroup1,0_rlyy14j7;exact,user;viewerUgroup1,"privacycontext:mediaspace,enableentitlement",0_rlyy14j7
yes,56_Entitlement_0_hcgpplqc_exact_user_testrenan,0_hcgpplqc;exact,user;testrenan,"enableentitlement,disableentitlementforentry:0_hcgpplqc",0_hcgpplqc
yes,57_Entitlement_0_44a4pwsr_exact_user_testrenan,0_44a4pwsr;exact,user;testrenan,"enableentitlement,disableentitlementforentry:0_44a4pwsr",0_44a4pwsr
yes,58_Entitlement_0_hcgpplqc_exact_user_testrenan_disableentitlementforentry_0_44a4pwsr,0_hcgpplqc;exact,user;testrenan,"enableentitlement,disableentitlementforentry:0_44a4pwsr",None
yes,59_Entitlement_0_44a4pwsr_exact_user_testrenan_disableentitlementforentry_0_hcgpplqc,0_44a4pwsr;exact,user;testrenan,"enableentitlement,disableentitlementforentry:0_hcgpplqc",None
